C,PO170922545095,RT05119,JIM BEAM -750-B-1,3,3,0,0.00,0,0.00,TPN230922485226,Non Duty Free
C,PO200922546338,CL04679,GLESMW-700-B-1,12,12,0,0.00,0,0.00,TPN230922485215,Non Duty Free
C,PO200922546591,HT06016,BR01580-700-B-1,60,60,0,0.00,0,0.00,TPN230922485227,Non Duty Free
C,PO210922546675,RT05204,JIM BEAM -750-B-1,2,2,0,0.00,0,0.00,TPN230922485228,Non Duty Free
C,PO210922546675,RT05204,BOISM-700-B-1,1,1,0,0.00,0,0.00,TPN230922485228,Non Duty Free
C,PO210922546675,RT05204,GLESMW-700-B-1,1,1,0,0.00,0,0.00,TPN230922485228,Non Duty Free
C,PO210922546675,RT05204,BR01580-700-B-1,3,3,0,0.00,0,0.00,TPN230922485228,Non Duty Free
C,PO210922546675,RT05204,SWT-700-B-1,2,2,0,0.00,0,0.00,TPN230922485228,Non Duty Free
C,PO210922546679,RT04997,JIM BEAM -750-B-1,2,2,0,0.00,0,0.00,TPN230922485229,Non Duty Free
C,PO210922546679,RT04997,GLESMW-700-B-1,2,2,0,0.00,0,0.00,TPN230922485229,Non Duty Free
C,PO210922546679,RT04997,BR01580-700-B-1,3,3,0,0.00,0,0.00,TPN230922485229,Non Duty Free
C,PO220922547175,RT04817,BOISM-700-B-1,1,1,0,0.00,0,0.00,TPN230922485234,Non Duty Free
C,PO220922547175,RT04817,GLESMW-700-B-1,2,2,0,0.00,0,0.00,TPN230922485234,Non Duty Free
C,PO220922547175,RT04817,BR01580-700-B-1,4,4,0,0.00,0,0.00,TPN230922485234,Non Duty Free
C,PO220922547256,RT04957,GRANT'S -750-B-1,120,120,0,0.00,0,0.00,TPN230922485235,Non Duty Free
C,PO220922547260,RT04801,BR01580-700-B-1,6,6,0,0.00,0,0.00,TPN230922485236,Non Duty Free
C,PO220922547401,RT06175,SWT-700-B-1,4,4,0,0.00,0,0.00,TPN230922485237,Non Duty Free
