C,PO011022551452,HT04773,DEBC-750-B-1,181,181,0,0.00,0,0.00,TPN031022505396,Non Duty Free
C,PO011022551547,HT05038,GLESMW-700-B-1,12,12,0,0.00,0,0.00,TPN031022505313,Non Duty Free
C,PO021022551713,RT05182,CSRPD-750-B-1,12,12,0,0.00,0,0.00,TPN031022505398,Non Duty Free
C,PO021022551713,RT05182,AKTBW-700-B-1,4,4,0,0.00,0,0.00,TPN031022505398,Non Duty Free
C,PO021022551713,RT05182,GLESMW-700-B-1,24,24,0,0.00,0,0.00,TPN031022505398,Non Duty Free
C,PO240922548058,RT05921,JIM BEAM -750-B-1,3,3,0,0.00,0,0.00,TPN031022505395,Non Duty Free
C,PO240922548058,RT05921,GLESMW-700-B-1,3,3,0,0.00,0,0.00,TPN031022505395,Non Duty Free
C,PO290922550267,RT05444,MONSB-700-B-1,6,6,0,0.00,0,0.00,TPN031022505308,Non Duty Free
C,PO290922550281,RT05444,LISM-750-B-1,2,2,0,0.00,0,0.00,TPN031022505309,Non Duty Free
C,PO290922550307,HT04771,SAFDSF-750-B-1,24,24,0,0.00,0,0.00,TPN031022505310,Non Duty Free
C,PO290922550307,HT04771,CAOSB-750-B-1,24,24,0,0.00,0,0.00,TPN031022505310,Non Duty Free
C,PO290922550307,HT04771,SRLR-750-B-1,12,12,0,0.00,0,0.00,TPN031022505310,Non Duty Free
C,PO290922550307,HT04771,PISPF-750-B-1,2,2,0,0.00,0,0.00,TPN031022505310,Non Duty Free
C,PO290922550307,HT04771,CSRPD-750-B-1,24,24,0,0.00,0,0.00,TPN031022505310,Non Duty Free
C,PO290922550408,RT04975,BR00044-700-B-1,2,2,0,0.00,0,0.00,TPN031022503868,Non Duty Free
C,PO290922550419,RT04851,MMKSBW-750-B-1,2,2,0,0.00,0,0.00,TPN031022505227,Non Duty Free
C,PO290922550419,RT04851,LISM-750-B-1,5,5,0,0.00,0,0.00,TPN031022505227,Non Duty Free
C,PO290922550419,RT04851,BR00044-700-B-1,3,3,0,0.00,0,0.00,TPN031022505227,Non Duty Free
C,PO290922550422,RT04851,JIM BEAM -750-B-1,4,4,0,0.00,0,0.00,TPN031022505228,Non Duty Free
C,PO290922550422,RT04851,BR01580-700-B-1,4,4,0,0.00,0,0.00,TPN031022505228,Non Duty Free
C,PO290922550422,RT04851,COCOB-700-B-1,3,3,0,0.00,0,0.00,TPN031022505228,Non Duty Free
C,PO290922550422,RT04851,GLESMW-700-B-1,4,4,0,0.00,0,0.00,TPN031022505228,Non Duty Free
C,PO290922550444,RT05493,LISM-750-B-1,4,4,0,0.00,0,0.00,TPN031022505262,Non Duty Free
C,PO290922550444,RT05493,BR00044-700-B-1,4,4,0,0.00,0,0.00,TPN031022505262,Non Duty Free
C,PO290922550454,CL04670,BR01580-700-B-1,6,6,0,0.00,0,0.00,TPN031022503869,Non Duty Free
C,PO290922550454,CL04670,GLESMW-700-B-1,6,6,0,0.00,0,0.00,TPN031022503869,Non Duty Free
C,PO290922550464,RT04693,LISM-750-B-1,2,2,0,0.00,0,0.00,TPN031022503870,Non Duty Free
C,PO290922550464,RT04693,SWT-700-B-1,1,1,0,0.00,0,0.00,TPN031022503870,Non Duty Free
C,PO290922550469,RT05619,LISM-750-B-1,2,2,0,0.00,0,0.00,TPN031022503871,Non Duty Free
C,PO290922550475,RT04749,LISM-750-B-1,2,2,0,0.00,0,0.00,TPN031022503872,Non Duty Free
C,PO290922550475,RT04749,SWT-700-B-1,1,1,0,0.00,0,0.00,TPN031022503872,Non Duty Free
C,PO290922550475,RT04749,GLESMW-700-B-1,2,2,0,0.00,0,0.00,TPN031022503872,Non Duty Free
C,PO290922550475,RT04749,BR01580-700-B-1,2,2,0,0.00,0,0.00,TPN031022503872,Non Duty Free
C,PO290922550555,HT04771,GLESMW-700-B-1,36,36,0,0.00,0,0.00,TPN031022505311,Non Duty Free
C,PO290922550555,HT04771,BR01580-700-B-1,18,18,0,0.00,0,0.00,TPN031022505311,Non Duty Free
C,PO290922550675,3DFC,FOCNW-750-B-1,36,36,0,0.00,0,0.00,TPN031022505226,Non Duty Free
C,PO290922550675,3DFC,FCNSW-750-B-1,24,24,0,0.00,0,0.00,TPN031022505226,Non Duty Free
C,PO290922550675,3DFC,GLESMW-700-B-1,36,36,0,0.00,0,0.00,TPN031022505226,Non Duty Free
C,PO300922550898,RT06151,MMKSBW-750-B-1,5,5,0,0.00,0,0.00,TPN031022505281,Non Duty Free
C,PO300922550907,CL04670,MONSB-700-B-1,6,6,0,0.00,0,0.00,TPN031022503873,Non Duty Free
C,PO300922551118,RT05408,MONSB-700-B-1,6,6,0,0.00,0,0.00,TPN031022503874,Non Duty Free
C,PO300922551124,RT05783,PISPF-750-B-1,6,6,0,0.00,0,0.00,TPN031022505312,Non Duty Free
C,PO300922551124,RT05783,HONJO-720-B-1,6,6,0,0.00,0,0.00,TPN031022505312,Non Duty Free
C,PO300922551124,RT05783,KSHA-720-B-1,6,6,0,0.00,0,0.00,TPN031022505312,Non Duty Free
C,PO300922551226,RT06151,MONSB-700-B-1,5,5,0,0.00,0,0.00,TPN031022505282,Non Duty Free
