C,PO071022553344,RT05300,ROKU-700-B-1,6,6,0,0.00,0,0.00,TPN121022521515,Non Duty Free
C,PO071022553345,RT05318,ROKU-700-B-1,5,5,0,0.00,0,0.00,TPN121022521516,Non Duty Free
C,PO071022553346,CL04766,HIBIKI-700-B-1,48,48,0,0.00,0,0.00,TPN121022521517,Non Duty Free
C,PO071022553380,RT05597,ROKU-700-B-1,6,6,0,0.00,0,0.00,TPN121022521518,Non Duty Free
C,PO071022553504,RT04694,ROKU-700-B-1,2,2,0,0.00,0,0.00,TPN121022522393,Non Duty Free
C,PO071022553504,RT04694,BR01580-700-B-1,3,3,0,0.00,0,0.00,TPN121022522393,Non Duty Free
C,PO071022553504,RT04694,SWT-700-B-1,6,6,0,0.00,0,0.00,TPN121022522393,Non Duty Free
C,PO071022553520,RT04752,MONSB-700-B-1,6,6,0,0.00,0,0.00,TPN121022521931,Non Duty Free
C,PO081022553757,RT04694,JURPE-750-B-1,18,18,0,0.00,0,0.00,TPN121022522394,Non Duty Free
C,PO081022553757,RT04694,CAVST-750-B-1,24,24,0,0.00,0,0.00,TPN121022522394,Non Duty Free
C,PO081022553774,RT05914,SACS-750-B-1,18,18,0,0.00,0,0.00,TPN121022521932,Non Duty Free
C,PO081022553774,RT05914,ROKU-700-B-1,1,1,0,0.00,0,0.00,TPN121022521932,Non Duty Free
C,PO081022553808,RT05018,SACS-750-B-1,12,12,0,0.00,0,0.00,TPN121022521519,Non Duty Free
C,PO081022553808,RT05018,CAOSB-750-B-1,12,12,0,0.00,0,0.00,TPN121022521519,Non Duty Free
C,PO081022553808,RT05018,JURPE-750-B-1,6,6,0,0.00,0,0.00,TPN121022521519,Non Duty Free
C,PO081022553808,RT05018,JUROCHDO-750-B-1,12,12,0,0.00,0,0.00,TPN121022521519,Non Duty Free
C,PO081022553808,RT05018,CSRPD-750-B-1,12,12,0,0.00,0,0.00,TPN121022521519,Non Duty Free
C,PO081022553839,RT05420,SACS-750-B-1,24,24,0,0.00,0,0.00,TPN121022521933,Non Duty Free
C,PO081022553849,CL04819,CAMAS-750-B-1,12,12,0,0.00,0,0.00,TPN121022521673,Non Duty Free
C,PO091022554077,CV721,FOCNW-750-B-1,36,36,0,0.00,0,0.00,TPN121022521531,Non Duty Free
