C,PO221022561538,RT05783,BR01580-700-B-1,16,16,0,0.00,0,0.00,TPN271022565474,Non Duty Free
C,PO231022561838,RT05601,BR01518-750-B-1,6,6,0,0.00,0,0.00,TPN271022564851,Non Duty Free
C,PO231022561839,RT05615,BR01518-750-B-1,6,6,0,0.00,0,0.00,TPN271022564852,Non Duty Free
C,PO231022561881,RT05526,BR01518-750-B-1,12,12,0,0.00,0,0.00,TPN271022565036,Non Duty Free
C,PO251022561988,HT04711,CAMAS-750-B-1,48,48,0,0.00,0,0.00,TPN271022564853,Non Duty Free
C,PO251022561988,HT04711,CAOSB-750-B-1,28,28,0,0.00,0,0.00,TPN271022564853,Non Duty Free
C,PO251022561988,HT04711,BR01518-750-B-1,48,48,0,0.00,0,0.00,TPN271022564853,Non Duty Free
C,PO251022561988,HT04711,CAICS-750-B-1,48,48,0,0.00,0,0.00,TPN271022564853,Non Duty Free
C,PO251022561988,HT04711,DEBC-750-B-1,12,12,0,0.00,0,0.00,TPN271022564853,Non Duty Free
C,PO251022561992,HT04714,CAMAS-750-B-1,36,36,0,0.00,0,0.00,TPN271022564854,Non Duty Free
C,PO251022561992,HT04714,CAICS-750-B-1,36,36,0,0.00,0,0.00,TPN271022564854,Non Duty Free
C,PO251022561992,HT04714,BR01518-750-B-1,24,24,0,0.00,0,0.00,TPN271022564854,Non Duty Free
C,PO251022561993,HT04712,CAICS-750-B-1,12,12,0,0.00,0,0.00,TPN271022564855,Non Duty Free
C,PO251022561993,HT04712,BR01518-750-B-1,12,12,0,0.00,0,0.00,TPN271022564855,Non Duty Free
C,PO251022561996,HT04713,BR01518-750-B-1,12,12,0,0.00,0,0.00,TPN271022564856,Non Duty Free
C,PO251022561996,HT04713,CAICS-750-B-1,12,12,0,0.00,0,0.00,TPN271022564856,Non Duty Free
C,PO251022562040,RT05167,BR01518-750-B-1,6,6,0,0.00,0,0.00,TPN271022564932,Non Duty Free
C,PO251022562043,HT05061,PISPF-750-B-1,6,6,0,0.00,0,0.00,TPN271022565476,Non Duty Free
C,PO251022562043,HT05061,CHRCR-750-B-1,36,36,0,0.00,0,0.00,TPN271022565476,Non Duty Free
C,PO251022562043,HT05061,MAFWP-750-B-1,12,12,0,0.00,0,0.00,TPN271022565476,Non Duty Free
C,PO251022562043,HT05061,SUBCM-750-B-1,12,12,0,0.00,0,0.00,TPN271022565476,Non Duty Free
C,PO251022562043,HT05061,FOCNW-750-B-1,36,36,0,0.00,0,0.00,TPN271022565476,Non Duty Free
C,PO251022562043,HT05061,TCHBS-750-B-1,12,12,0,0.00,0,0.00,TPN271022565475,Non Duty Free
C,PO251022562043,HT05061,THWRS-750-B-1,24,24,0,0.00,0,0.00,TPN271022565475,Non Duty Free
C,PO251022562043,HT05061,JURPE-750-B-1,3,3,0,0.00,0,0.00,TPN271022565475,Non Duty Free
C,PO251022562043,HT05061,CHLAGA-750-B-1,24,24,0,0.00,0,0.00,TPN271022565475,Non Duty Free
C,PO251022562043,HT05061,TESACR-750-B-1,18,18,0,0.00,0,0.00,TPN271022565475,Non Duty Free
C,PO251022562043,HT05061,BR01580-700-B-1,4,4,0,0.00,0,0.00,TPN271022565476,Non Duty Free
C,PO251022562043,HT05061,ROKU-700-B-1,1,1,0,0.00,0,0.00,TPN271022565475,Non Duty Free
C,PO251022562157,HT04798,CSRPD-750-B-1,60,60,0,0.00,0,0.00,TPN271022565037,Non Duty Free
C,PO251022562157,HT04798,CHLAGA-750-B-1,48,48,0,0.00,0,0.00,TPN271022565037,Non Duty Free
C,PO251022562168,HT04798,SRLR-750-B-1,96,96,0,0.00,0,0.00,TPN271022565039,Non Duty Free
C,PO251022562168,HT04798,BADBB-750-B-1,36,36,0,0.00,0,0.00,TPN271022565039,Non Duty Free
C,PO251022562168,HT04798,BRTRS-750-B-1,30,30,0,0.00,0,0.00,TPN271022565039,Non Duty Free
C,PO251022562168,HT04798,KSHA-720-B-1,48,48,0,0.00,0,0.00,TPN271022565039,Non Duty Free
C,PO251022562168,HT04798,HONJO-720-B-1,48,48,0,0.00,0,0.00,TPN271022565039,Non Duty Free
C,PO251022562177,HT04798,SACCD-750-B-1,24,24,0,0.00,0,0.00,TPN271022565040,Non Duty Free
C,PO251022562177,HT04798,ROKU-700-B-1,2,2,0,0.00,0,0.00,TPN271022565040,Non Duty Free
C,PO251022562192,HT05157,BADBB-750-B-1,4,4,0,0.00,0,0.00,TPN271022565482,Non Duty Free
C,PO251022562195,HT05157,SUBCM-750-B-1,12,12,0,0.00,0,0.00,TPN271022565483,Non Duty Free
C,PO251022562201,HT05157,MAFWP-750-B-1,12,12,0,0.00,0,0.00,TPN271022565484,Non Duty Free
C,PO251022562205,HT05157,TCHBS-750-B-1,12,12,0,0.00,0,0.00,TPN271022565485,Non Duty Free
C,PO261022562497,RT04840,BR01518-750-B-1,2,2,0,0.00,0,0.00,TPN271022565477,Non Duty Free
C,PO271022563128,HT05061,FCNSW-750-B-1,9,9,0,0.00,0,0.00,TPN271022565486,Non Duty Free
