C,PO261022562822,RT05323,ZINRO-750,1,12,0,775.56,0,775.56,TPN281022566780,Non Duty Free
C,PO271022563246,6LNB,ZINRO-750,10,120,0,0.00,0,0.00,TPN281022565861,Non Duty Free
C,PO271022563246,6LNB,SNVCR-750,5,60,0,0.00,0,0.00,TPN281022565861,Non Duty Free
C,PO281022563516,6LNB,SSC-750,5,60,0,0.00,0,0.00,TPN281022566892,Non Duty Free
C,PO281022563676,CV713,ZINRO-750,1,12,0,0.00,0,0.00,TPN281022566949,Non Duty Free
C,PO281022563676,2GMV,SSC-750,1,12,0,0.00,0,0.00,TPN281022566904,Non Duty Free
C,PO281022563676,2CNP1,SSC-750,10,120,0,0.00,0,0.00,TPN281022566903,Non Duty Free
C,PO281022563676,2CNP1,ZINRO-750,5,60,0,0.00,0,0.00,TPN281022566903,Non Duty Free
C,PO281022563676,2CNP1,SNVCR-750,5,60,0,0.00,0,0.00,TPN281022566903,Non Duty Free
C,PO281022563676,2BCP,SNVCR-750,3,36,0,0.00,0,0.00,TPN281022566902,Non Duty Free
C,PO281022563676,2BCP,ZINRO-750,1,12,0,0.00,0,0.00,TPN281022566902,Non Duty Free
C,PO281022563676,2BCP,SSC-750,5,60,0,0.00,0,0.00,TPN281022566902,Non Duty Free
C,PO281022563676,2DC,SNVCR-750,2,24,0,0.00,0,0.00,TPN281022566901,Non Duty Free
C,PO281022563676,2DC,SSC-750,5,60,0,0.00,0,0.00,TPN281022566901,Non Duty Free
C,PO281022563676,2DC,ZINRO-750,1,12,0,0.00,0,0.00,TPN281022566901,Non Duty Free
C,PO281022563676,2EOK,ZINRO-750,1,12,0,0.00,0,0.00,TPN281022566900,Non Duty Free
C,PO281022563676,2EOK,SNVCR-750,3,36,0,0.00,0,0.00,TPN281022566900,Non Duty Free
C,PO281022563676,2EOK,SSC-750,10,120,0,0.00,0,0.00,TPN281022566900,Non Duty Free
C,PO281022563676,1LGC,ZINRO-750,1,12,0,0.00,0,0.00,TPN281022566899,Non Duty Free
C,PO281022563676,1LGC,SNVCR-750,1,12,0,0.00,0,0.00,TPN281022566899,Non Duty Free
C,PO281022563676,1LGC,SSC-750,1,12,0,0.00,0,0.00,TPN281022566899,Non Duty Free
C,PO281022563676,1SMV,ZINRO-750,1,12,0,0.00,0,0.00,TPN281022566898,Non Duty Free
C,PO281022563676,1SMV,SSC-750,3,36,0,0.00,0,0.00,TPN281022566898,Non Duty Free
C,PO281022563676,1SMV,SNVCR-750,2,24,0,0.00,0,0.00,TPN281022566898,Non Duty Free
C,PO281022563676,1MTN2,SSC-750,2,24,0,0.00,0,0.00,TPN281022566897,Non Duty Free
C,PO281022563676,1MTN2,SNVCR-750,2,24,0,0.00,0,0.00,TPN281022566897,Non Duty Free
C,PO281022563676,1MTN2,ZINRO-750,1,12,0,0.00,0,0.00,TPN281022566897,Non Duty Free
C,PO281022563676,1HK,ZINRO-750,1,12,0,0.00,0,0.00,TPN281022566896,Non Duty Free
C,PO281022563676,1HK,SNVCR-750,2,24,0,0.00,0,0.00,TPN281022566896,Non Duty Free
C,PO281022563676,1HK,SSC-750,5,60,0,0.00,0,0.00,TPN281022566896,Non Duty Free
C,PO281022563676,1CNP4,SSC-750,4,48,0,0.00,0,0.00,TPN281022566895,Non Duty Free
C,PO281022563676,1CNP4,ZINRO-750,1,12,0,0.00,0,0.00,TPN281022566895,Non Duty Free
C,PO281022563676,1CNP4,SNVCR-750,3,36,0,0.00,0,0.00,TPN281022566895,Non Duty Free
C,PO281022563676,1AKV,ZINRO-750,1,12,0,0.00,0,0.00,TPN281022566894,Non Duty Free
C,PO281022563676,1AKV,SSC-750,3,36,0,0.00,0,0.00,TPN281022566894,Non Duty Free
C,PO281022563676,1AKV,SNVCR-750,2,24,0,0.00,0,0.00,TPN281022566894,Non Duty Free
C,PO281022563676,2UN,ZINRO-750,1,12,0,0.00,0,0.00,TPN281022566893,Non Duty Free
C,PO281022563676,2UN,SNVCR-750,3,36,0,0.00,0,0.00,TPN281022566893,Non Duty Free
C,PO281022563676,2UN,SSC-750,5,60,0,0.00,0,0.00,TPN281022566893,Non Duty Free
C,PO281022563676,CV694,SSC-750,5,60,0,0.00,0,0.00,TPN281022566918,Non Duty Free
C,PO281022563676,CV694,ZINRO-750,2,24,0,0.00,0,0.00,TPN281022566918,Non Duty Free
C,PO281022563676,2MLN,SSC-750,5,60,0,0.00,0,0.00,TPN281022566917,Non Duty Free
C,PO281022563676,2MLN,SNVCR-750,2,24,0,0.00,0,0.00,TPN281022566917,Non Duty Free
C,PO281022563676,2MLN,ZINRO-750,3,36,0,0.00,0,0.00,TPN281022566917,Non Duty Free
C,PO281022563676,1RAG,SNVCR-750,1,12,0,0.00,0,0.00,TPN281022566916,Non Duty Free
C,PO281022563676,1RAG,ZINRO-750,1,12,0,0.00,0,0.00,TPN281022566916,Non Duty Free
C,PO281022563676,1RAG,SSC-750,3,36,0,0.00,0,0.00,TPN281022566916,Non Duty Free
C,PO281022563676,CV689,ZINRO-750,2,24,0,0.00,0,0.00,TPN281022566915,Non Duty Free
C,PO281022563676,CV689,SSC-750,10,120,0,0.00,0,0.00,TPN281022566915,Non Duty Free
C,PO281022563676,CV689,SNVCR-750,3,36,0,0.00,0,0.00,TPN281022566915,Non Duty Free
C,PO281022563676,CV691,SNVCR-750,2,24,0,0.00,0,0.00,TPN281022566914,Non Duty Free
C,PO281022563676,CV691,SSC-750,5,60,0,0.00,0,0.00,TPN281022566914,Non Duty Free
C,PO281022563676,CV691,ZINRO-750,2,24,0,0.00,0,0.00,TPN281022566914,Non Duty Free
C,PO281022563676,2NMC,SNVCR-750,1,12,0,0.00,0,0.00,TPN281022566913,Non Duty Free
C,PO281022563676,2NMC,SSC-750,1,12,0,0.00,0,0.00,TPN281022566913,Non Duty Free
C,PO281022563676,2AKV2,ZINRO-750,1,12,0,0.00,0,0.00,TPN281022566912,Non Duty Free
C,PO281022563676,2AKV2,SSC-750,3,36,0,0.00,0,0.00,TPN281022566912,Non Duty Free
C,PO281022563676,2AKV2,SNVCR-750,2,24,0,0.00,0,0.00,TPN281022566912,Non Duty Free
C,PO281022563676,1KLB,SSC-750,1,12,0,0.00,0,0.00,TPN281022566911,Non Duty Free
C,PO281022563676,1ASV,SNVCR-750,1,12,0,0.00,0,0.00,TPN281022566910,Non Duty Free
C,PO281022563676,1ASV,SSC-750,1,12,0,0.00,0,0.00,TPN281022566910,Non Duty Free
C,PO281022563676,2NP,SNVCR-750,2,24,0,0.00,0,0.00,TPN281022566909,Non Duty Free
C,PO281022563676,2NP,SSC-750,3,36,0,0.00,0,0.00,TPN281022566909,Non Duty Free
C,PO281022563676,2NP,ZINRO-750,1,12,0,0.00,0,0.00,TPN281022566909,Non Duty Free
C,PO281022563676,2HK,SNVCR-750,3,36,0,0.00,0,0.00,TPN281022566908,Non Duty Free
C,PO281022563676,2HK,ZINRO-750,5,60,0,0.00,0,0.00,TPN281022566908,Non Duty Free
C,PO281022563676,2HK,SSC-750,10,120,0,0.00,0,0.00,TPN281022566908,Non Duty Free
C,PO281022563676,CV737,ZINRO-750,1,12,0,0.00,0,0.00,TPN281022566907,Non Duty Free
C,PO281022563676,CV737,SNVCR-750,2,24,0,0.00,0,0.00,TPN281022566907,Non Duty Free
C,PO281022563676,CV737,SSC-750,5,60,0,0.00,0,0.00,TPN281022566907,Non Duty Free
C,PO281022563676,1SCS,SSC-750,3,36,0,0.00,0,0.00,TPN281022566906,Non Duty Free
C,PO281022563676,1SCS,SNVCR-750,2,24,0,0.00,0,0.00,TPN281022566906,Non Duty Free
C,PO281022563676,1SCS,ZINRO-750,1,12,0,0.00,0,0.00,TPN281022566906,Non Duty Free
C,PO281022563676,CV736,SNVCR-750,1,12,0,0.00,0,0.00,TPN281022566905,Non Duty Free
C,PO281022563676,CV736,SSC-750,2,24,0,0.00,0,0.00,TPN281022566905,Non Duty Free
C,PO281022563676,2GMV,SNVCR-750,1,12,0,0.00,0,0.00,TPN281022566904,Non Duty Free
C,PO281022563676,2GMV,ZINRO-750,1,12,0,0.00,0,0.00,TPN281022566904,Non Duty Free
C,PO281022563676,1SMK,SNVCR-750,2,24,0,0.00,0,0.00,TPN281022566933,Non Duty Free
C,PO281022563676,1SMK,ZINRO-750,1,12,0,0.00,0,0.00,TPN281022566933,Non Duty Free
C,PO281022563676,1SHP,SSC-750,1,12,0,0.00,0,0.00,TPN281022566932,Non Duty Free
C,PO281022563676,1SHP,SNVCR-750,1,12,0,0.00,0,0.00,TPN281022566932,Non Duty Free
C,PO281022563676,CV708,SSC-750,2,24,0,0.00,0,0.00,TPN281022566931,Non Duty Free
C,PO281022563676,CV708,ZINRO-750,1,12,0,0.00,0,0.00,TPN281022566931,Non Duty Free
C,PO281022563676,CV708,SNVCR-750,2,24,0,0.00,0,0.00,TPN281022566931,Non Duty Free
C,PO281022563676,2JHC,SSC-750,1,12,0,0.00,0,0.00,TPN281022566930,Non Duty Free
C,PO281022563676,CV703,SNVCR-750,1,12,0,0.00,0,0.00,TPN281022566929,Non Duty Free
C,PO281022563676,CV703,ZINRO-750,1,12,0,0.00,0,0.00,TPN281022566929,Non Duty Free
C,PO281022563676,CV703,SSC-750,1,12,0,0.00,0,0.00,TPN281022566929,Non Duty Free
C,PO281022563676,CV701,ZINRO-750,1,12,0,0.00,0,0.00,TPN281022566928,Non Duty Free
C,PO281022563676,CV701,SNVCR-750,1,12,0,0.00,0,0.00,TPN281022566928,Non Duty Free
C,PO281022563676,CV701,SSC-750,1,12,0,0.00,0,0.00,TPN281022566928,Non Duty Free
C,PO281022563676,1SS2,ZINRO-750,1,12,0,0.00,0,0.00,TPN281022566927,Non Duty Free
C,PO281022563676,1SS2,SNVCR-750,2,24,0,0.00,0,0.00,TPN281022566927,Non Duty Free
C,PO281022563676,1SS2,SSC-750,3,36,0,0.00,0,0.00,TPN281022566927,Non Duty Free
C,PO281022563676,CV763,SNVCR-750,1,12,0,0.00,0,0.00,TPN281022566926,Non Duty Free
C,PO281022563676,CV763,SSC-750,1,12,0,0.00,0,0.00,TPN281022566926,Non Duty Free
C,PO281022563676,CV752,SNVCR-750,5,60,0,0.00,0,0.00,TPN281022566925,Non Duty Free
C,PO281022563676,CV752,ZINRO-750,1,12,0,0.00,0,0.00,TPN281022566925,Non Duty Free
C,PO281022563676,CV752,SSC-750,10,120,0,0.00,0,0.00,TPN281022566925,Non Duty Free
C,PO281022563676,CV698,SSC-750,1,12,0,0.00,0,0.00,TPN281022566924,Non Duty Free
C,PO281022563676,CV698,ZINRO-750,1,12,0,0.00,0,0.00,TPN281022566924,Non Duty Free
C,PO281022563676,CV698,SNVCR-750,1,12,0,0.00,0,0.00,TPN281022566924,Non Duty Free
C,PO281022563676,CV696,SSC-750,1,12,0,0.00,0,0.00,TPN281022566923,Non Duty Free
C,PO281022563676,1VMS2,SSC-750,2,24,0,0.00,0,0.00,TPN281022566922,Non Duty Free
C,PO281022563676,1VMS2,SNVCR-750,2,24,0,0.00,0,0.00,TPN281022566922,Non Duty Free
C,PO281022563676,CV697,SNVCR-750,1,12,0,0.00,0,0.00,TPN281022566921,Non Duty Free
C,PO281022563676,CV697,SSC-750,1,12,0,0.00,0,0.00,TPN281022566921,Non Duty Free
C,PO281022563676,CV697,ZINRO-750,1,12,0,0.00,0,0.00,TPN281022566921,Non Duty Free
C,PO281022563676,2PTN,SNVCR-750,1,12,0,0.00,0,0.00,TPN281022566920,Non Duty Free
C,PO281022563676,2PTN,ZINRO-750,1,12,0,0.00,0,0.00,TPN281022566920,Non Duty Free
C,PO281022563676,2PTN,SSC-750,1,12,0,0.00,0,0.00,TPN281022566920,Non Duty Free
C,PO281022563676,CV753,SNVCR-750,1,12,0,0.00,0,0.00,TPN281022566919,Non Duty Free
C,PO281022563676,CV753,SSC-750,2,24,0,0.00,0,0.00,TPN281022566919,Non Duty Free
C,PO281022563676,CV753,ZINRO-750,1,12,0,0.00,0,0.00,TPN281022566919,Non Duty Free
C,PO281022563676,CV694,SNVCR-750,3,36,0,0.00,0,0.00,TPN281022566918,Non Duty Free
C,PO281022563676,CV713,SNVCR-750,2,24,0,0.00,0,0.00,TPN281022566949,Non Duty Free
C,PO281022563676,CV713,SSC-750,3,36,0,0.00,0,0.00,TPN281022566949,Non Duty Free
C,PO281022563676,1OKI,SSC-750,3,36,0,0.00,0,0.00,TPN281022566948,Non Duty Free
C,PO281022563676,1OKI,SNVCR-750,2,24,0,0.00,0,0.00,TPN281022566948,Non Duty Free
C,PO281022563676,1OKI,ZINRO-750,1,12,0,0.00,0,0.00,TPN281022566948,Non Duty Free
C,PO281022563676,CV712,ZINRO-750,1,12,0,0.00,0,0.00,TPN281022566947,Non Duty Free
C,PO281022563676,CV712,SSC-750,3,36,0,0.00,0,0.00,TPN281022566947,Non Duty Free
C,PO281022563676,CV712,SNVCR-750,3,36,0,0.00,0,0.00,TPN281022566947,Non Duty Free
C,PO281022563676,CV711,SSC-750,1,12,0,0.00,0,0.00,TPN281022566946,Non Duty Free
C,PO281022563676,CV711,SNVCR-750,1,12,0,0.00,0,0.00,TPN281022566946,Non Duty Free
C,PO281022563676,CV711,ZINRO-750,1,12,0,0.00,0,0.00,TPN281022566946,Non Duty Free
C,PO281022563676,CV710,ZINRO-750,1,12,0,0.00,0,0.00,TPN281022566945,Non Duty Free
C,PO281022563676,CV710,SNVCR-750,2,24,0,0.00,0,0.00,TPN281022566945,Non Duty Free
C,PO281022563676,CV710,SSC-750,3,36,0,0.00,0,0.00,TPN281022566945,Non Duty Free
C,PO281022563676,1RME,SSC-750,1,12,0,0.00,0,0.00,TPN281022566944,Non Duty Free
C,PO281022563676,1RME,SNVCR-750,1,12,0,0.00,0,0.00,TPN281022566944,Non Duty Free
C,PO281022563676,CV709,ZINRO-750,1,12,0,0.00,0,0.00,TPN281022566943,Non Duty Free
C,PO281022563676,CV709,SNVCR-750,2,24,0,0.00,0,0.00,TPN281022566943,Non Duty Free
C,PO281022563676,CV709,SSC-750,5,60,0,0.00,0,0.00,TPN281022566943,Non Duty Free
C,PO281022563676,1LIA,SSC-750,1,12,0,0.00,0,0.00,TPN281022566942,Non Duty Free
C,PO281022563676,1LIA,SNVCR-750,1,12,0,0.00,0,0.00,TPN281022566942,Non Duty Free
C,PO281022563676,CV007,SSC-750,1,12,0,0.00,0,0.00,TPN281022566941,Non Duty Free
C,PO281022563676,1KWN,ZINRO-750,1,12,0,0.00,0,0.00,TPN281022566940,Non Duty Free
C,PO281022563676,1KWN,SSC-750,5,60,0,0.00,0,0.00,TPN281022566940,Non Duty Free
C,PO281022563676,1KWN,SNVCR-750,3,36,0,0.00,0,0.00,TPN281022566940,Non Duty Free
C,PO281022563676,1SAKT,SNVCR-750,2,24,0,0.00,0,0.00,TPN281022566939,Non Duty Free
C,PO281022563676,1SAKT,ZINRO-750,2,24,0,0.00,0,0.00,TPN281022566939,Non Duty Free
C,PO281022563676,1SAKT,SSC-750,10,120,0,0.00,0,0.00,TPN281022566939,Non Duty Free
C,PO281022563676,2RJP,SNVCR-750,1,12,0,0.00,0,0.00,TPN281022566938,Non Duty Free
C,PO281022563676,2RJP,SSC-750,1,12,0,0.00,0,0.00,TPN281022566938,Non Duty Free
C,PO281022563676,2IMN,SNVCR-750,2,24,0,0.00,0,0.00,TPN281022566937,Non Duty Free
C,PO281022563676,2IMN,SSC-750,2,24,0,0.00,0,0.00,TPN281022566937,Non Duty Free
C,PO281022563676,2ME,SSC-750,2,24,0,0.00,0,0.00,TPN281022566936,Non Duty Free
C,PO281022563676,2ME,SNVCR-750,2,24,0,0.00,0,0.00,TPN281022566936,Non Duty Free
C,PO281022563676,1MMR,SNVCR-750,1,12,0,0.00,0,0.00,TPN281022566935,Non Duty Free
C,PO281022563676,1MMR,SSC-750,1,12,0,0.00,0,0.00,TPN281022566935,Non Duty Free
C,PO281022563676,CV706,SSC-750,1,12,0,0.00,0,0.00,TPN281022566934,Non Duty Free
C,PO281022563676,1SMK,SSC-750,1,12,0,0.00,0,0.00,TPN281022566933,Non Duty Free
C,PO281022563676,1NMKB,SNVCR-750,2,24,0,0.00,0,0.00,TPN281022566957,Non Duty Free
C,PO281022563676,1NMKB,ZINRO-750,1,12,0,0.00,0,0.00,TPN281022566957,Non Duty Free
C,PO281022563676,1NMKB,SSC-750,2,24,0,0.00,0,0.00,TPN281022566957,Non Duty Free
C,PO281022563676,CV009,SSC-750,1,12,0,0.00,0,0.00,TPN281022566956,Non Duty Free
C,PO281022563676,CV009,SNVCR-750,1,12,0,0.00,0,0.00,TPN281022566956,Non Duty Free
C,PO281022563676,CV009,ZINRO-750,1,12,0,0.00,0,0.00,TPN281022566956,Non Duty Free
C,PO281022563676,CV729,SNVCR-750,3,36,0,0.00,0,0.00,TPN281022566955,Non Duty Free
C,PO281022563676,CV729,ZINRO-750,3,36,0,0.00,0,0.00,TPN281022566955,Non Duty Free
C,PO281022563676,CV729,SSC-750,10,120,0,0.00,0,0.00,TPN281022566955,Non Duty Free
C,PO281022563676,CV720,SSC-750,1,12,0,0.00,0,0.00,TPN281022566954,Non Duty Free
C,PO281022563676,CV720,ZINRO-750,1,12,0,0.00,0,0.00,TPN281022566954,Non Duty Free
C,PO281022563676,CV720,SNVCR-750,1,12,0,0.00,0,0.00,TPN281022566954,Non Duty Free
C,PO281022563676,CV718,SSC-750,2,24,0,0.00,0,0.00,TPN281022566953,Non Duty Free
C,PO281022563676,CV718,SNVCR-750,5,60,0,0.00,0,0.00,TPN281022566953,Non Duty Free
C,PO281022563676,CV718,ZINRO-750,1,12,0,0.00,0,0.00,TPN281022566953,Non Duty Free
C,PO281022563676,1BSM,ZINRO-750,1,12,0,0.00,0,0.00,TPN281022566952,Non Duty Free
C,PO281022563676,1BSM,SSC-750,4,48,0,0.00,0,0.00,TPN281022566952,Non Duty Free
C,PO281022563676,1BSM,SNVCR-750,2,24,0,0.00,0,0.00,TPN281022566952,Non Duty Free
C,PO281022563676,1AAR,SSC-750,2,24,0,0.00,0,0.00,TPN281022566951,Non Duty Free
C,PO281022563676,1AAR,ZINRO-750,1,12,0,0.00,0,0.00,TPN281022566951,Non Duty Free
C,PO281022563676,1AAR,SNVCR-750,1,12,0,0.00,0,0.00,TPN281022566951,Non Duty Free
C,PO281022563676,CV716,SSC-750,1,12,0,0.00,0,0.00,TPN281022566950,Non Duty Free
C,PO281022563676,CV716,ZINRO-750,1,12,0,0.00,0,0.00,TPN281022566950,Non Duty Free
C,PO281022563676,CV716,SNVCR-750,1,12,0,0.00,0,0.00,TPN281022566950,Non Duty Free
