C,PO031122567475,RT05207,SVNSB-750,1,12,0,1159.44,0,1159.44,TPN051122590743,Non Duty Free
C,PO031122567487,RT05800,SVNSB-750,1,12,0,1159.44,0,1159.44,TPN051122590744,Non Duty Free
C,PO031122567511,RT05952,SVNSB-750,1,12,0,1159.44,0,1159.44,TPN051122590745,Non Duty Free
C,PO031122567592,RT04715,SDSOA-375,2,48,0,3388.32,0,3388.32,TPN051122590746,Non Duty Free
C,PO031122567592,RT04715,SDSOA-750A,1,6,0,845.70,0,845.70,TPN051122590746,Non Duty Free
C,PO041122567998,RT05538,SVNCB-750,1,12,0,1115.28,0,1115.28,TPN051122590747,Non Duty Free
C,PO041122567998,RT05538,SSC-750,2,24,0,2023.68,0,2023.68,TPN051122590747,Non Duty Free
C,PO041122568008,RT04840,SSC-375,1,24,0,1014.96,0,1014.96,TPN051122592926,Non Duty Free
C,PO041122568104,RT04894,SVNSB-750,2,24,0,2318.88,0,2318.88,TPN051122591649,Non Duty Free
C,PO041122568119,RT04843,SNSMC-750,1,12,0,1026.60,0,1026.60,TPN051122593434,Non Duty Free
C,PO041122568119,RT04843,ZINFR-750,1,12,0,952.68,0,952.68,TPN051122593434,Non Duty Free
C,PO041122568119,RT04843,SSNVT-750,1,12,0,1188.96,0,1188.96,TPN051122593434,Non Duty Free
C,PO041122568119,RT04843,SVNCB-750,1,12,0,1115.28,0,1115.28,TPN051122593434,Non Duty Free
C,PO041122568174,CL05363,SVNCB-750,3,36,0,3345.84,0,3345.84,TPN051122590915,Non Duty Free
C,PO041122568187,RT05018,SSC-750,2,24,0,2023.68,0,2023.68,TPN051122590973,Non Duty Free
C,PO041122568187,RT05018,SVNCB-750,2,24,0,2230.56,0,2230.56,TPN051122590973,Non Duty Free
C,PO041122568187,RT05018,SNSMC-750,1,12,0,1026.60,0,1026.60,TPN051122590973,Non Duty Free
C,PO041122568187,RT05018,TSGR-750A,2,12,0,1661.88,0,1661.88,TPN051122590973,Non Duty Free
C,PO041122568187,RT05018,TSSR-750A,2,12,0,1927.68,0,1927.68,TPN051122590973,Non Duty Free
C,PO041122568224,RT05946,SSNVT-750,1,12,0,1188.96,0,1188.96,TPN051122590974,Non Duty Free
C,PO041122568224,RT05946,SSC-750,1,12,0,1011.84,0,1011.84,TPN051122590974,Non Duty Free
C,PO041122568224,RT05946,SVNCB-750,1,12,0,1115.28,0,1115.28,TPN051122590974,Non Duty Free
C,PO041122568224,RT05946,SVNSB-750,1,12,0,1159.44,0,1159.44,TPN051122590974,Non Duty Free
C,PO041122568224,RT05946,SDSOA-750A,1,6,0,845.70,0,845.70,TPN051122590974,Non Duty Free
C,PO041122568244,RT05246,SDRVW-750,1,12,0,1056.12,0,1056.12,TPN051122590975,Non Duty Free
C,PO041122568244,RT05246,SVNSB-750,1,12,0,1159.44,0,1159.44,TPN051122590975,Non Duty Free
C,PO041122568244,RT05246,SSNVT-750,2,24,0,2377.92,0,2377.92,TPN051122590975,Non Duty Free
C,PO041122568244,RT05246,SVNCB-750,1,12,0,1115.28,0,1115.28,TPN051122590975,Non Duty Free
C,PO041122568244,RT05246,SSC-750,2,24,0,2023.68,0,2023.68,TPN051122590975,Non Duty Free
C,PO041122568244,RT05246,SDSOA-750A,1,6,0,845.70,0,845.70,TPN051122590975,Non Duty Free
C,PO041122568260,RT05023,SVNCB-750,1,12,0,1115.28,0,1115.28,TPN051122590976,Non Duty Free
C,PO041122568260,RT05023,SSNVT-750,1,12,0,1188.96,0,1188.96,TPN051122590976,Non Duty Free
C,PO041122568260,RT05023,SSC-750,1,12,0,1011.84,0,1011.84,TPN051122590976,Non Duty Free
C,PO041122568295,RT05536,SSC-750,1,12,0,1011.84,0,1011.84,TPN051122590977,Non Duty Free
C,PO041122568295,RT05536,SSNVT-750,1,12,0,1188.96,0,1188.96,TPN051122590977,Non Duty Free
C,PO041122568295,RT05536,SVNSB-750,1,12,0,1159.44,0,1159.44,TPN051122590977,Non Duty Free
C,PO041122568295,RT05536,SVNCB-750,1,12,0,1115.28,0,1115.28,TPN051122590977,Non Duty Free
C,PO041122568295,RT05536,SDSOA-750A,1,6,0,845.70,0,845.70,TPN051122590977,Non Duty Free
C,PO041122568315,RT06012,SVNCB-750,1,12,0,1115.28,0,1115.28,TPN051122590978,Non Duty Free
C,PO041122568315,RT06012,SSNVT-750,1,12,0,1188.96,0,1188.96,TPN051122590978,Non Duty Free
C,PO041122568315,RT06012,SSC-750,1,12,0,1011.84,0,1011.84,TPN051122590978,Non Duty Free
C,PO041122568315,RT06012,SDSOA-750A,1,6,0,845.70,0,845.70,TPN051122590978,Non Duty Free
C,PO041122568333,RT05054,SSC-750,1,12,0,1011.84,0,1011.84,TPN051122590979,Non Duty Free
C,PO041122568333,RT05054,SVNCB-750,1,12,0,1115.28,0,1115.28,TPN051122590979,Non Duty Free
C,PO041122568333,RT05054,SSNVT-750,1,12,0,1188.96,0,1188.96,TPN051122590979,Non Duty Free
C,PO041122568333,RT05054,SDSOA-750A,1,6,0,845.70,0,845.70,TPN051122590979,Non Duty Free
C,PO041122568350,CV006,SSC-750,2,24,0,0.00,0,0.00,TPN051122590931,Non Duty Free
C,PO041122568350,CV002,SSC-750,5,60,0,0.00,0,0.00,TPN051122590930,Non Duty Free
C,PO041122568350,CV002,ZINFR-750,5,60,0,0.00,0,0.00,TPN051122590930,Non Duty Free
C,PO041122568350,CV017,SSC-750,5,60,0,0.00,0,0.00,TPN051122590929,Non Duty Free
C,PO041122568350,CV017,ZINFR-750,5,60,0,0.00,0,0.00,TPN051122590929,Non Duty Free
C,PO041122568350,7CGN,ZINFR-750,2,24,0,0.00,0,0.00,TPN051122590928,Non Duty Free
C,PO041122568350,7CGN,SSC-750,2,24,0,0.00,0,0.00,TPN051122590928,Non Duty Free
C,PO041122568350,7GNN,SSC-750,5,60,0,0.00,0,0.00,TPN051122590927,Non Duty Free
C,PO041122568350,7GNN,ZINFR-750,5,60,0,0.00,0,0.00,TPN051122590927,Non Duty Free
C,PO041122568350,7DCN,ZINFR-750,3,36,0,0.00,0,0.00,TPN051122590926,Non Duty Free
C,PO041122568350,7DCN,SSC-750,3,36,0,0.00,0,0.00,TPN051122590926,Non Duty Free
C,PO041122568350,7TBR,SSC-750,2,24,0,0.00,0,0.00,TPN051122590925,Non Duty Free
C,PO041122568350,7TBR,ZINFR-750,2,24,0,0.00,0,0.00,TPN051122590925,Non Duty Free
C,PO041122568350,CV768,ZINFR-750,15,180,0,0.00,0,0.00,TPN051122590924,Non Duty Free
C,PO041122568350,CV768,SSC-750,15,180,0,0.00,0,0.00,TPN051122590924,Non Duty Free
C,PO041122568350,CV739,ZINFR-750,10,120,0,0.00,0,0.00,TPN051122590923,Non Duty Free
C,PO041122568350,CV739,SSC-750,10,120,0,0.00,0,0.00,TPN051122590923,Non Duty Free
C,PO041122568350,CV740,SSC-750,5,60,0,0.00,0,0.00,TPN051122590922,Non Duty Free
C,PO041122568350,CV740,ZINFR-750,5,60,0,0.00,0,0.00,TPN051122590922,Non Duty Free
C,PO041122568350,7GUL,ZINFR-750,2,24,0,0.00,0,0.00,TPN051122590921,Non Duty Free
C,PO041122568350,7GUL,SSC-750,2,24,0,0.00,0,0.00,TPN051122590921,Non Duty Free
C,PO041122568350,7TPD,ZINFR-750,3,36,0,0.00,0,0.00,TPN051122590920,Non Duty Free
C,PO041122568350,7TPD,SSC-750,3,36,0,0.00,0,0.00,TPN051122590920,Non Duty Free
C,PO041122568350,7DGD,ZINFR-750,3,36,0,0.00,0,0.00,TPN051122590919,Non Duty Free
C,PO041122568350,7DGD,SSC-750,3,36,0,0.00,0,0.00,TPN051122590919,Non Duty Free
C,PO041122568350,CV726,ZINFR-750,1,12,0,0.00,0,0.00,TPN051122590918,Non Duty Free
C,PO041122568350,CV726,SSC-750,1,12,0,0.00,0,0.00,TPN051122590918,Non Duty Free
